Kanji;Kana;Romaji;Translation;Part of Speech
油;あぶら;abura;oil;Noun
愛;あい;ai;love, affection, care;Noun, Noun, used as a suffix
愛情;あいじょう;aijou;love, affection;Noun, Noun which may take the genitive case particle 'no'
相変わらず;あいかわらず;aikawarazu;as ever, as usual, the same;Adverb (fukushi), Noun which may take the genitive case particle 'no'
生憎;あいにく;ainiku;unfortunately, sorry, but…;Na-adjective (keiyodoshi), Adverb (fukushi), Noun, Noun which may take the genitive case particle 'no';к сожалению, к несчастью; жаль что ...
愛する;あいする;aisuru;to love;Suru verb - special class, Transitive verb
相手;あいて;aite;companion, partner;Noun
合図;あいず;aizu;sign, signal;Noun, Suru verb, Transitive verb, Intransitive verb
明かり;あかり;akari;light, illumination, glow;Noun
明ける;あける;akeru;to dawn, to end (of a period, season);Ichidan verb, Transitive verb
空き;あき;aki;space, room, emptiness;Noun
空き家;あきや;akiya;vacant house, unoccupied house​;Noun
明らか;あきらか;akiraka;obvious, evident, clear;Na-adjective (keiyodoshi)
諦める;あきらめる;akirameru;to give up, to abandon;Ichidan verb, Transitive verb
飽きる;あきる;akiru;to get tired of;Ichidan verb, Suffix, Intransitive verb
悪魔;あくま;akuma;demon, evil;Noun
握手;あくしゅ;akushu;handshake;Noun, Suru verb, Intransitive verb
余る;あまる;amaru;to remain, to be left over;Godan verb with 'ru' ending, Intransitive verb
編む;あむ;amu;to knit, to braid​;Godan verb with 'mu' ending, Transitive verb
案;あん;an;idea, plan, thought;Noun, Noun, used as a suffix
汗;あせ;ase;sweat, perspiration;Noun
穴;あな;ana;hole, deficit, vacancy;Noun
暗記;あんき;anki;memorization;Noun, Suru verb, Transitive verb
安定;あんてい;antei;stability, equilibrium;Noun, Suru verb, Intransitive verb
粗い;あらい;arai;coarse, rough​;I-adjective (keiyoushi)
嵐;あらし;arashi;storm, tempest;Noun
新た;あらた;arata;new, fresh, novel;Na-adjective (keiyodoshi)
現れる;あらわれる;arawareru;to appear, to come in sight;Ichidan verb, Intransitive verb
表す;あらわす;arawasu;to represent, to show, to display;Godan verb with 'su' ending, Transitive verb
有らゆる;あらゆる;arayuru;all, every;Pre-noun adjectival (rentaishi)
足元;あしもと;ashimoto;at one’s feet, under foot;Noun, Noun which may take the genitive case particle 'no'
与える;あたえる;ataeru;to give, to bestow;Ichidan verb, Transitive verb
値;ね;atai;price, cost;Noun
辺り;あたり;atari;neighborhood, nearby;Noun, Noun, used as a suffix, Adverb (fukushi)
当たる;あたる;ataru;to be hit, to strike;Godan verb with 'ru' ending, Intransitive verb
温める;あたためる;atatameru;to warm, to heat​;Ichidan verb, Transitive verb
跡;あと;ato;trace, tracks, mark;Noun
扱う;あつかう;atsukau;to deal with, to treat;Godan verb with 'u' ending, Transitive verb
集まり;あつまり;atsumari;gathering, meeting;Noun
慌てる;あわてる;awateru;to panic​, to rush;Ichidan verb, Intransitive verb
誤り;あやまり;ayamari;error, mistake, slip;Noun
泡;あわ;awa;bubble, foam;Noun
哀れ;あわれ;aware;pity, sorrow, grief;Noun
合わせる;あわせる;awaseru;to match, to join together;Ichidan verb, Transitive verb
預ける;あずける;azukeru;to give into custody;Ichidan verb, Transitive verb
場;ば;ba;place, spot, scene;Noun
馬鹿;ばか;baka;fool, idiot;Noun
莫大;ばくだい;bakudai;enormous, vast;Na-adjective (keiyodoshi)
爆発;ばくはつ;bakuhatsu;explosion, detonation;Noun, Suru verb, Intransitive verb
場面;ばめん;bamen;scene, setting;Noun
罰する;ばっする;bassuru;to punish, to penalize;Suru verb - special class, Transitive verb
弁護士;べんごし;bengoshi;lawyer, attorney​;Noun
別々;べつべつ;betsubetsu;separately, individually​;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun
美人;びじん;bijin;beautiful woman;Noun
微妙;びみょう;bimyou;delicate, subtle;Na-adjective (keiyodoshi), Noun
瓶;びん;bin;bottle, jar;Noun
便;びん;bin;mail, post, flight;Noun, Noun, used as a suffix
募集;ぼしゅう;boshuu;recruitment, taking applications​, raising (funds);Noun, Suru verb, Transitive verb
棒;ぼう;bou;pole, rod, stick;Noun
冒険;ぼうけん;bouken;adventure, risk;Noun, Suru verb, Intransitive verb
部分;ぶぶん;bubun;portion, section, part;Noun
部品;ぶひん;buhin;parts, components​;Noun
無事;ぶじ;buji;safety, peace;Noun, Na-adjective (keiyodoshi)
武器;ぶき;buki;weapon, arms;Noun
物価;ぶっか;bukka;prices of commodities;Noun
文;ぶん;bun;sentence;Noun
分;ぶ;bun;part, segment, share;Noun, Noun, used as a suffix
文明;ぶんめい;bunmei;civilization;Noun
分類;ぶんるい;bunrui;categorization, sorting​;Noun, Suru verb, Transitive verb
分析;ぶんせき;bunseki;analysis;Noun, Suru verb, Transitive verb
文章;ぶんしょう;bunshou;essay, article, composition;Noun
分野;ぶんや;bun’ya;field, sphere;Noun
無沙汰;ぶさた;busata;not writing or contacting for a while;Noun, Suru verb, Intransitive verb
物質;ぶっしつ;busshitsu;material, substance;Noun
舞台;ぶたい;butai;stage;Noun
打つかる;ぶつかる;butsukaru;to strike against, to collide with;Godan verb with 'ru' ending, Intransitive verb
物理;ぶつり;butsuri;physics;Noun
秒;びょう;byou;second;Noun
平等;びょうどう;byoudou;equality, evenness;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
父親;ちちおや;chichioya;father;Noun
知恵;ちえ;chie;wisdom, wit;Noun
違い;ちがい;chigai;difference, discrepancy;Noun
地平線;ちへいせん;chiheisen;horizon;Noun
地方;ちほう;chihou;district, region, area;Noun
地位;ちい;chii;social position, status;Noun
地域;ちいき;chiiki;area, region;Noun
